"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"1","Code Name: K.O.Z.","2015","NOT RATED","13 Feb 2015","114 min","Crime, Mystery","Celal Çimen","N/A","Cem Kurtoglu, Hakan Ural, Hazim Körmükçü, Tolga Karel","A look at the 17-25 December 2013 corruption scandal in Turkey, from the viewpoint of the Erdogan government.","Turkish","Turkey","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMDhkOTQzN2UtZDJhMi00ZTkzLWJmYjctNmE0MjdmZDlmYjJlXkEyXkFqcGdeQXVyNTQzNzQ5OTE@._V1_SX300.jpg","Internet Movie Database","1.6/10","N/A","1.6","24,600","tt4458206","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"2","Saving Christmas","2014","PG","14 Nov 2014","80 min","Comedy, Family","Darren Doane","Darren Doane, Cheston Hervey","Kirk Cameron, Darren Doane, Bridgette Cameron, Ben Kientz","Kirk is enjoying the annual Christmas party extravaganza thrown by his sister until he realizes he needs to help out Christian, his brother-in-law, who has a bad case of the bah-humbugs. ...","English","USA","4 wins & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MTc3Njc5MV5BMl5BanBnXkFtZTgwNzU3NDE4MjE@._V1_SX300.jpg","Internet Movie Database","1.6/10","18","1.6","12,686","tt4009460","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/kirk_camerons_saving_christmas/","03 Nov 2015","$2,778,297","IPD/Samuel Goldwyn Films","http://www.savingchristmas.com/","True"
"3","Superbabies: Baby Geniuses 2","2004","PG","27 Aug 2004","88 min","Comedy, Family, Sci-Fi","Bob Clark","Steven Paul (story), Gregory Poppen (screenplay)","Jon Voight, Scott Baio, Vanessa Angel, Skyler Shaye","A group of smart-talking toddlers find themselves at the center of a media mogul's experiment to crack the code to baby talk. The toddlers must race against time for the sake of babies everywhere.","English","Germany, UK, USA","13 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNjY4NjM3MjQ2OF5BMl5BanBnXkFtZTcwOTc3NzYyMQ@@._V1_SX300.jpg","Internet Movie Database","2.0/10","9","2.0","26,376","tt0270846","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/super_babies_baby_geniuses_2/","04 Jan 2005","$9,016,422","Sony","http://www.sonypictures.com/movies/superbabiesbabygeniuses2/index.html","True"
"4","Daniel der Zauberer","2004","NOT RATED","12 Aug 2004","81 min","Comedy, Crime, Fantasy","Ulli Lommel","Ulli Lommel (screenplay)","Daniel Küblböck, Ulli Lommel, Rudolf Waldemar Brem, Katja Rupé","Evil assassins want to kill Daniel Kublbock, the third runner up for the German Idols.","German","Germany","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5OTM2MzAxM15BMl5BanBnXkFtZTcwNDA4MDMzMQ@@._V1_SX300.jpg","Internet Movie Database","1.9/10","N/A","1.9","13,060","tt0421051","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/daniel_der_zauberer/","N/A","N/A","N/A","N/A","True"
"5","Manos: The Hands of Fate","1966","NOT RATED","15 Nov 1966","70 min","Horror","Harold P. Warren","Harold P. Warren (screenplay)","Tom Neyman, John Reynolds, Diane Adelson, Harold P. Warren","A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNWUzNGExMGEtYzcwNS00OGY5LWE3NmItNDcxZTQ3YjljNmE2XkEyXkFqcGdeQXVyNTc4Njg5MjA@._V1_SX300.jpg","Internet Movie Database","1.9/10","N/A","1.9","31,768","tt0060666","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/manos-the-hands-of-fate/","07 Oct 2003","N/A","Sinister Cinema","N/A","True"
"6","Pledge This!","2006","R","N/A","91 min","Comedy","William Heins, Strathford Hamilton","Cheryl Guerriero, Anna Obropta","Paris Hilton, Paula Garcés, Sarah Carter, Simon Rex","At South Beach University, a beautiful sorority president takes in a group of unconventional freshman girls seeking acceptance into her house.","English","USA","1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0MDk0Mjc1MF5BMl5BanBnXkFtZTcwODMyOTYzMQ@@._V1_SX300.jpg","Internet Movie Database","1.9/10","N/A","1.9","15,828","tt0417056","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/national_lampoon_s_pledge_this/","19 Dec 2006","N/A","Freestyle Releasing","N/A","True"
"7","Turks in Space","2006","NOT RATED","15 Dec 2006","110 min","Action, Comedy, Sci-Fi","Kartal Tibet","Murat Boyacioglu","Cüneyt Arkin, Haldun Boysan, Berda Ceyhan, Veysel Diker","A family of Turks try to adapt to life in a new solar system.","Turkish, Turkish","Turkey","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTMwODIxNF5BMl5BanBnXkFtZTcwMjc0NzA0MQ@@._V1_SX300.jpg","Internet Movie Database","1.9/10","N/A","1.9","14,068","tt0808240","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/turks-in-space/","N/A","N/A","Tiglon","N/A","True"
"8","Foodfight!","2012","PG","12 Feb 2013","91 min","Animation, Action, Comedy","Lawrence Kasanoff","Lawrence Kasanoff (story), Joshua Wexler (story), Brent V. Friedman, Rebecca Swanson, Sean Catherine Derek","Charlie Sheen, Hilary Duff, Eva Longoria, Wayne Brady","The evil Brand X joins a supermarket that becomes a city after closing time.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMDY1MDI0NV5BMl5BanBnXkFtZTgwODAyODk3NzE@._V1_SX300.jpg","Internet Movie Database","1.8/10","N/A","1.8","5,670","tt0249516","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/foodfight/","N/A","N/A","Lionsgate Films","http://www.foodfight.com/","True"
"9","Birdemic: Shock and Terror","2010","NOT RATED","27 Feb 2010","105 min","Horror, Romance, Thriller","James Nguyen","James Nguyen (screenplay), James Nguyen (story)","Alan Bagh, Whitney Moore, Tippi Hedren, Janae Caster","A horde of mutated birds descends upon the quiet town of Half Moon Bay, California. With the death toll rising, Two citizens manage to fight back, but will they survive Birdemic?","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BOTcxODAwMDYwNV5BMl5BanBnXkFtZTcwNzQ3MjQzMg@@._V1_SX300.jpg","Internet Movie Database","1.8/10","N/A","1.8","15,787","tt1316037","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/birdemic_shock_and_terror-2008/","22 Feb 2011","N/A","Independant Pictures","http://www.birdemic.com","True"
"10","Dream.net","2009","N/A","16 Apr 2009","N/A","Comedy, Romance, Sport","Gábor Forgács","Gábor Forgács","Lilla Labanc, Kinga Czifra, Ádám Csernóczki, Attila Jankóczky","Regina, the once popular girl has to make new friends at her new, conservative school. Problems arrive when she becomes enemies with Lívia, the school's queen bee, and falls in love with ...","Hungarian","Hungary","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzODQwODk4NV5BMl5BanBnXkFtZTcwNDc1Njc4Mw@@._V1_SX300.jpg","Internet Movie Database","2.0/10","N/A","2.0","8,444","tt1309000","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/alomnet/","N/A","N/A","N/A","N/A","True"
"11","Titanic: The Legend Goes On...","2000","NOT RATED","15 Sep 2000","90 min","Animation, Family, Fantasy","Camillo Teti","Bozenna Intrator (translation), Jymn Magon (consulting writer), Camillo Teti","Lisa Russo, Mark Thompson-Ashworth, Gisella Mathews, Silva Belton","A Cinderella meets her Prince Charming on the ill-fated Titanic. Along for the ride are a rapping dog, other talking animals, and an assortment of wacky humans.","Italian, English","Italy","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MjcxODAwMV5BMl5BanBnXkFtZTcwMTk4OTMwMg@@._V1_SX300.jpg","Internet Movie Database","2.2/10","N/A","2.2","8,420","tt0330994","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/titanic_the_animated_movie/","N/A","N/A","N/A","N/A","True"
"12","Disaster Movie","2008","PG-13","29 Aug 2008","87 min","Comedy","Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer","Matt Lanter, Vanessa Lachey, Gary 'G. Thang' Johnson, Nicole Parker","Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.","English","USA","1 win & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzMDQyNDgwNl5BMl5BanBnXkFtZTcwMDA0MTc3MQ@@._V1_SX300.jpg","Internet Movie Database","1.9/10","15","1.9","77,407","tt1213644","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/disaster_movie/","06 Jan 2009","$14,174,654","Lionsgate","http://disastermovie.net/","True"
"13","Zombie Nation","2004","R","05 Oct 2004","81 min","Horror","Ulli Lommel","Ulli Lommel","Gunter Ziegler, Brandon Dean, Axel Montgomery, Phil Lander","A psychotic police officer who murders his female arrests gets what's coming to him when a horde of zombified women rise from their graves to seek revenge.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNjE5Njk5Ml5BMl5BanBnXkFtZTcwNDc3MDA0MQ@@._V1_SX300.jpg","Internet Movie Database","2.1/10","N/A","2.1","7,730","tt0463392","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/zombie-nation/","19 Dec 2006","N/A","LionsGate Entertainment","N/A","True"
"14","The Hottie & the Nottie","2008","PG-13","21 Feb 2008","91 min","Comedy, Romance","Tom Putnam","Heidi Ferrer","Paris Hilton, Joel David Moore, Christine Lakin, Johann Urb","A woman agrees to go on a date with a man only if he finds a suitor for her unattractive best friend.","English","USA","4 wins & 4 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2NDc1ODUxNDZeQTJeQWpwZ15BbWU3MDQ1MjM1NTE@._V1_SX300.jpg","Internet Movie Database","1.9/10","7","1.9","34,089","tt0804492","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/hottie_and_the_nottie/","06 May 2008","N/A","Regent Releasing","http://www.thehottieandthenottie.com","True"
"15","Keloglan vs. the Black Prince","2006","N/A","06 Jan 2006","105 min","Comedy","Tayfun Güneyer","Tayfun Güneyer","Mehmet Ali Erbil, Petek Dinçöz, Özcan Deniz, Ahu Türkpençe","Kelogan fights the black prince to serve justice.","Turkish","Turkey","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMmQ2MGIyMTAtMThhMC00NWZmLThhNGItMjA5ZTgzYmQ5OTBlXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_SX300.jpg","Internet Movie Database","1.8/10","N/A","1.8","8,485","tt0470833","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"16","From Justin to Kelly","2003","PG","20 Jun 2003","81 min","Comedy, Musical, Romance","Robert Iscove","Kim Fuller","Kelly Clarkson, Justin Guarini, Katherine Bailess, Anika Noni Rose","A waitress from Texas and a college student from Pennsylvania meet during spring break in Fort Lauderdale, Florida and come together through their shared love of singing.","English","USA","3 wins & 18 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1MjI1MDMwMl5BMl5BanBnXkFtZTYwNzk3Njk5._V1_SX300.jpg","Internet Movie Database","2.1/10","14","2.1","23,918","tt0339034","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/from_justin_to_kelly/","26 Aug 2003","$4,584,577","20th Century Fox","http://www.fromjustintokelly.com/","True"
"17","A Fox's Tale","2008","N/A","N/A","85 min","Animation, Adventure, Family","György Gát, János Uzsák","Péter Dóka (screenplay), István Fekete (characters), György Gát (screenplay)","Gábor Csöre, Freddie Highmore, János Gálvölgyi, Miranda Richardson","Little Jack is a young fox living happily with his family in the woods, but everything changes when his father is captured by a circus troupe in order to be part of their show. The rest of ...","Hungarian","UK, Hungary","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NTQzNTkyNV5BMl5BanBnXkFtZTcwMzI2NDAwMg@@._V1_SX300.jpg","Internet Movie Database","2.2/10","N/A","2.2","7,927","tt0830861","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"18","Ram Gopal Varma's Indian Flames","2007","N/A","31 Aug 2007","171 min","Action, Adventure, Comedy","Ram Gopal Varma","Salim Khan (story), Rahil Qazi, Ram Gopal Varma (screenplay), Ram Gopal Varma (story)","Amitabh Bachchan, Mohanlal, Ajay Devgn, Vinod Jaywant","Nasik-based Heerendra Dhaan and Raj Ranade are bodyguards of a politician, but after their employer is implicated in a scam, they end up assaulting a police officer and flee to Mumbai. Once...","Hindi","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BZWNmYTc2YWQtZjk5Ni00NDc3LTk1YjQtMDUzNWM5NjVhMjI2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg","Internet Movie Database","1.9/10","N/A","1.9","6,017","tt0473310","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/ram-gopal-varma-ki-aag/","N/A","N/A","N/A","N/A","True"
"19","Going Overboard","1989","R","12 May 1989","99 min","Comedy","Valerie Breiman","Valerie Breiman, Adam Sandler (additional material), Scott LaRose (additional material)","Burt Young, Adam Sandler, Scott LaRose, Lisa Collins","A struggling young comedian takes a menial job on a cruise ship where he hopes for his big chance to make it in the world of cruise ship comedy.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5NDQzNTI5Nl5BMl5BanBnXkFtZTcwMDgxMTgzMQ@@._V1_SX300.jpg","Internet Movie Database","1.9/10","N/A","1.9","10,918","tt0096870","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/going_overboard/","23 Mar 1999","N/A","Trimark","N/A","True"
"20","Yes Sir","2007","N/A","19 Jan 2007","100 min","Action, Adventure, Comedy","Taner Akvardar, Mustafa Altioklar","Emine Altioklar","Mehmet Ali Erbil, Sarp Levendoglu, Seda Akman, Hamdi Alkan","There are soldiers who want to be a commander. But these soldiers always hanging around. Commanders want to bring to hell them. But these soldiers always makes jokes and they palters. Meanwhile, one of soldiers deal with him lover.","Turkish","Turkey","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjk4YzQ4MzItOTA2Ni00N2U5LWFmZjUtNDkzZDViMzA1MzJkXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_SX300.jpg","Internet Movie Database","1.8/10","N/A","1.8","6,141","tt0953989","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"21","Attack of the Jurassic Shark","2012","N/A","20 Apr 2012","75 min","Action, Horror, Sci-Fi","Brett Kelly","David A. Lloyd, Trevor Payer (additional dialogue)","Emanuelle Carriere, Christine Emes, Celine Filion, Angela Parent","When an oil company unwittingly unleashes a prehistoric shark from its icy prison, the Jurassic killer maroons a group of thieves and beautiful young female college students on an abandoned...","English","Canada","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwODUzODMzOV5BMl5BanBnXkFtZTcwNjM0NzAzOA@@._V1_SX300.jpg","Internet Movie Database","1.5/10","N/A","1.5","2,950","tt2071491","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"22","Potato Salad","2015","N/A","23 Jul 2015","81 min","Comedy, Horror","Michael David Pate","Torge Oelrich, Michael David Pate","Joyce Ilg, Torge Oelrich, Otto Waalkes, Ernst-Herbert Albertsen","When a deadly zombie virus infects a school in Germany it remains on the student Leo to save the world.","German","Germany","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NTY3NTk0NV5BMl5BanBnXkFtZTgwOTIxODI0NDE@._V1_SX300.jpg","Internet Movie Database","1.2/10","N/A","1.2","5,839","tt4404474","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"23","Ben & Arthur","2002","N/A","02 Jan 2003","85 min","Drama, Romance, Thriller","Sam Mraovich","Sam Mraovich (screenplay)","Sam Mraovich, Jamie Brett Gabel, Michael Haboush, Bill Hindley","A pair of recently married gay men are threatened by one of the partners' brother, a religious fanatic who plots to murder them after being ostracized by his church.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2MjAxMDU3NV5BMl5BanBnXkFtZTgwMTEzMDA1NzE@._V1_SX300.jpg","Internet Movie Database","2.2/10","N/A","2.2","7,002","tt0364986","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/ben-arthur/","13 Apr 2004","N/A","N/A","N/A","True"
"24","The Legend of the Titanic","1999","N/A","17 Apr 1999","84 min","Animation, Family, Fantasy","Orlando Corradi, Kim J. Ok","Clelia Castaldo, Orlando Corradi (story), Loris Peota, Ted Rusoff (dialogue adaptation)","Gregory Snegoff, Francis Pardeilhan, Jane Alexander, Anna Mazzotti","A grandfather mouse tells his grandchildren the ""real"" story of the Titanic disaster, including himself, evil sharks, a giant octopus, and an evil whaling scheme.","Italian","Italy, USA, Spain","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxNDU5MTk1MV5BMl5BanBnXkFtZTgwMDk5NDUyMTE@._V1_SX300.jpg","Internet Movie Database","1.9/10","N/A","1.9","2,873","tt1623780","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/la_leggenda_del_titanic/","N/A","N/A","N/A","N/A","True"
"25","Himmatwala","2013","NOT RATED","29 Mar 2013","150 min","Action, Comedy, Drama","Sajid Khan","K. Raghavendra Rao (original story), Sajid Khan (story), Sajid Khan (screenplay), Farhad Samji (screenplay), Sajid (screenplay)","Ajay Devgn, Tamannaah Bhatia, Paresh Rawal, Mahesh Manjrekar","When a temple priest commits suicide after being dishonored by an evil landlord, his son returns to his native village on a mission of vengeance.","Hindi","India","2 wins & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4MTYwNDA0NF5BMl5BanBnXkFtZTcwNjE0MjQyOQ@@._V1_SX300.jpg","Internet Movie Database","1.8/10","N/A","1.8","6,555","tt2344678","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/himmatwala/","N/A","$270,880","UTV Motion Pictures","http://www.utvgroup.com/motion-pictures/coming-soon/himmatwala.html","True"
"26","Birdemic 2: The Resurrection","2013","N/A","16 Apr 2013","90 min","Action, Comedy, Horror","James Nguyen","James Nguyen (screenwriter)","Alan Bagh, Whitney Moore, Thomas Favaloro, Chelsea Turnbo","A platoon of eagles and vultures attack Hollywood, California. Why did the eagles and vultures attack? Who will survive?","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MTgzNTM2MF5BMl5BanBnXkFtZTcwMDgxMTc5Nw@@._V1_SX300.jpg","Internet Movie Database","1.7/10","N/A","1.7","3,241","tt1674047","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/birdemic_2_the_resurrection/","N/A","N/A","Moviehead Pictures","http://thisisbirdemic.com/","True"
"27","Monster a-Go Go","1965","TV-PG","01 Jul 1965","70 min","Horror, Sci-Fi","Bill Rebane, Herschell Gordon Lewis","Jeff Smith (screenplay), Dok Stanford (screenplay), Bill Rebane (screenplay), Herschell Gordon Lewis (additional dialogue)","Philip Morton, June Travis, George Perry, Lois Brooks","A space capsule crash-lands on Earth, and the astronaut aboard disappears. Is there a connection between the missing man and the monster roaming the area?","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNjY0OWQ0ZDctNDI4ZC00MTc2LThhOWItYmE2NWQwYjg0OWVjXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","Internet Movie Database","2.3/10","N/A","2.3","6,331","tt0059464","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/monster_a_gogo/","N/A","N/A","American Pop Classics","N/A","True"
"28","House of the Dead","2003","R","10 Oct 2003","90 min","Action, Adventure, Horror","Uwe Boll","Mark A. Altman (story), Dan Bates (story), Dave Parker (screenplay), Mark A. Altman (screenplay)","Jonathan Cherry, Tyron Leitso, Clint Howard, Ona Grauer","A group of college students travel to a mysterious island to attend a rave, which is soon taken over by bloodthirsty zombies.","English","Germany, Canada, USA","2 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMTU1MzIyNV5BMl5BanBnXkFtZTYwODM4NTc2._V1_SX300.jpg","Internet Movie Database","2.0/10","15","2.0","32,974","tt0317676","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/1126175-house_of_the_dead/","27 Jan 2004","$10,199,354","Artisan","http://www.house-of-the-dead.com/","True"
